,과목명,교수명,수업코드,수강후기,평점
10,운영체제론,강경태,22695,"언뜻보면 좋은 교수님,  뭔가 느낌이 쌔한 교수님",4.00
11,운영체제론,강경태,22695,다중전공생이라서 수업만 들었을때는 시험걱정을 많이 했었는데 다행히 시험은 교과서에 있는 연습문제에서만 랜덤으로 나오기 때문에 연습문제만 다풀고 완벽히 그문제들을 공부하면 시험은 어렵지 않다. 다만 가장 심적으로 힘들었던 시간이 실습시간이었는데 팀원들이랑 같이 프로그래밍 과제를 코딩해서 검사맡는 형식인데 뭔지 1도 몰라서 눈치만 보고 너무 힘들었다...,4.00
12,운영체제론,강경태,22695,어렵고 졸리고 힘든 개론수업  얻어갈게 많은 수업이지만 쉽지않다,3.00
13,운영체제론,강경태,22695,많은걸 열정적으로 가르쳐주시지만 시험은 쉽게 내서 학생들의 편의를 봐주시는 교수님. 시험문제는 공룡책의 연습문제에서 랜덤으로 내기 때문에 다 풀어보면 좋음.,5.00
14,운영체제론,강경태,22695,7장까지만 하는건 4학년 강의에 7장이후를 다루기 때문. 시험 쉽고 과제 없음,5.00
15,운영체제론,강경태,22695,중요한 과목이라서 교수님이 열심히 가르쳐줌하지만 시험은.연습문제에서 나와서 혼자 공부해도 학점은 잘 받을 수 있음,4.00
16,운영체제론,강경태,22695,"저번 안식년에 대타로 뛰신 교수님이 너무 수강생들 수준을 높게 봐서 망해가지고 이번에는 과제 없이 가셨음. 다만, 문제가 연습문제 중에 랜덤으로 말씀하셨기 때문에 사실상 연습문제 과제가 있는 거나 마찬가지임. 그리고 매우 뜬금 없지만 그렇게 나쁘지도 않지만 별로 하기 싫은 실습을 매주 해야함. 실습과 본 수업이 연결이 안 됨. 그리고 중요한 과목인데도 진도를 7장 까지 밖에 안 나가므로 혼자서 나머지 장을 공부할 필요가 있음. 수업 태도에 대해 매우 깐깐하신 편으로 수업 중에 웃으면 분명 딴 짓한 거라고 매우 싫어하심. 그러나 그만큼 출석률이 좋으면 (전출을 자주하면) 학점 혜택을 주심. 일심단결하여 같은 수강생들이 매번 전출하길 바라세요.",4.00
17,전공진로세미나,이동호,22701,솔직히 꿀수업 취업관련도윰이많이되는듯해요,5.00
18,전공진로세미나,이동호,22701,교수님들 대학원 소개하는 강의임. 얻어가는건 1학점 P뿐이다.,3.00
19,전공진로세미나,이동호,22701,그냥 스무스하게 전공학점 1학점 받는다고 생각하면 됨. 결석만 안 하고 자소서 과제 하나 끝내면 전공 1학점 추가. 졸업요건에 전공학점 딸리면 추천. 아니면 시간낭비.,5.00
20,전공진로세미나,이동호,22701,"전공진로세미나 라고 해서 뭔가 실무쪽 세부 분야 다루는 줄 알았는데완전 속았음.그냥 대학원 오라고 교수들이 돌아가면서 연구실 홍보하는 강의.대학원 갈거면 들으면 좋은데, 대학원 생각있는 사람들은 이미 3학년부터 학부연구생 하고있을거잖아?",1.00
21,컴퓨터네트워크,이석복,22707,B+이면 좋겠다했는데 A0 받았다 교수님이 수업을 잘가르쳐서 재밌게 들었다,5.00
22,컴퓨터네트워크,이석복,22707,진짜 말 그대로 학점느님. 시험 못봐도 자기가 생각했는 성적보다 무조건 두 단계 이상은 높은 성적 받음. 진짜 갓석복 갓석복 하는 이유가 있었다ㅠㅠ,5.00
23,컴퓨터네트워크,이석복,22707,"영어강의 들었는데 전달력 좋음 이해 매우 잘 됨강의 질 좋음 교수님이 애착을 가지고 진행하시고 앞 부분에서 말하는 모든 내용이 뒷 단원의 떡밥임 쓸모 없는 정보가 없어서 다 귀 기울여 들으면 나중에 종합해서 이해 할 때 도움이 많이 됨시험의 경우에는 예상하지 못 한 방식대로 나왔음 그래서 중간고사 때 당황했지만 오히려 기말은 이해만 했으면 누구나 풀 수 있게 평이하게 내 주셔서 좋았음에이플 받으려면 과목을 정말 열심히 챙기고 실수가 생기면 안 됨 하지만 에이제로는 누구나 줌과제는 올해는 한 번 진행했지만 보통은 두 번 이상으로 알고 있음 코딩 못 하면 과제 좀 힘들듯 함 좀 똘똘한 전공생들은 하루컷, 유치원 전공생들은 2 3일, 다중 분들은 그 이상 소요하는 듯",5.00
24,컴퓨터네트워크,이석복,22707,"정말 열정적으로 가르쳐주십니다. 교수님도 이 과목 즐거워하시는게 눈에 보일 정도입니다. 저도 관심이 없다가도 생길 정도였습니다. 성적도 잘 주시고, 후회없는 수강이었습니다.",5.00
25,컴퓨터네트워크,이석복,22707,영어로도 잘 설명해주시는데 왜 욕하시는지 모르겠네요이번학기 최고의 교수님이고 배운것도 많고 알찬 수업이었습니다.,5.00
26,컴퓨터네트워크,이석복,22707,갓석복 킹석복 빛석복학점 역대급 혜자 너무 감사합니다 ㅠㅠㅠㅠ,5.00
27,컴퓨터네트워크,이석복,22707,영강듣지마세요 들을거면 한국어들으세요 한국어는 알참,1.00
28,컴퓨터네트워크,이석복,22707,어려운 과제한번 어려운 시험 두번 어려운 내용들. 그러나 노력하면 충분히 따라갈수있었던 유익한 수업,5.00
29,컴퓨터네트워크,이석복,22707,"최악이었다. 잘 모르겠는데 수업은 매번 지각하시고, 영어 수업은 진짜 내 역대 강의중 제일 허접한 영어실력으로 한 강의였다. 뒤에 외국인들이 한숨지을정도.. 뭘 배웠는지도 모르겠고 쩝..",1.00
30,컴퓨터네트워크,이석복,22707,갓석복.. 매우 잘 가르쳐주신다.진도는 매우 빨리 나가시기 때문에 잠깐 멍때리거나 하루빠지면 타격이 크다. 그래도 매우 재밌는 수업.. 과제는 빡쎔,5.00
31,컴퓨터네트워크,이석복,22707,매우어려운 과제 꽤 어려운 시험 적당히 어려운 수업,3.00
32,컴퓨터네트워크,이석복,22707,"매우 잘 가르쳐주신다. 듣는 내내 강의력이 좋다고 생각했고, 자신이 만약에 어떤 수업을 다시 듣고 싶다 하면 kocw라는 사이트에 가면 강의 다시보기가 있어서 공부하기 편하다.그리고 출석을 부르지 않으시기 때문에 자기가 자신있는 파트를 강의하실때는 수업에 안나와도 된다. 그런데 시험이 무지무지 어렵다.하지만 괜찮다. 시험이 너무나도 어려워서 다들 망하기 때문에. 프로젝트는 웹 서버, 웹 프록시, 웹 캐시 순으로 내주시는데 코딩 ㅈㄴ못하는 내 기준으로 프로젝트 하나당 18시간정도 쏟으면 완성할 수 있다. 프로젝트도 너무나 어렵다.그런데 학점은 너무 잘 주신다. 거의 전부 B0 이상으로 주시며, 한 학기에 C+ 이하로 받는 사람은 2~3명정도밖에 찾아볼 수 없을 정도로 퍼주신다.",5.00
33,컴퓨터네트워크,이석복,22707,시험 좀 망해도 프로젝트 잘하면 커버가능함. 미리 2주전부터 하는게 좋응,5.00
34,컴퓨터네트워크,이석복,22707,갠적으로 강의력 좋다고 생각함프 로젝트는 진짜 어렵지만 끝나고 나면 배우는게 많음학점은 후하게 주심,5.00
35,컴퓨터네트워크,이석복,22707,"과제 웹 서버 만들기랑 프록시 서버 만들기 (둘다 C로 짜야함) 내주시는데 파이썬 종자라 생각보다 어려웠어영. 수업 진도나 내용 다루는 것 매우 적절적절. 다만 책을 안 봐서 모르겠는데, 시험 내용이 어렵지는 않은데 처음에 뭐지 하고 살짝 당황할 수 있도록 문제가 나와양. 그래도 부분 점수 주시기 때문에 최대한 푸세양. 그리고 아침 첫교시 수업은 매번 15분 늦게오시고, 15분 늦게 끝내주심 ㅡ ㅡ ...",5.00
36,컴퓨터네트워크,이석복,22707,믿고듣는 빛-석-복다른말이 필요없음석-멘,5.00
37,컴퓨터네트워크,이석복,22707,갓석복 출석 안부르시고 학점 엄청잘주심 수업도 재밌고 이해 잘되게 잘 가르쳐주십니다 프로젝트과제가 많이 어렵긴 한데 시험 잘보면 괜찮아요,5.00
38,컴퓨터네트워크,이석복,22707,수업 재밌음  본인 전공을 가르치는 거라 이해하기 쉽게 가르쳐주심다만 프로젝트가 헬,4.00
39,소프트웨어공학,Scott Uk-Jin Lee,22711,할게 정말 넘쳐흐르도록 많지만 그만큼 얻어갈 수 있는게 많은 수업. 현재 백엔드 개발자로 재직 중인데 이 수업 안들었으면 큰일났을듯. 실무와 아주 인접해있는 수업이니 여유가 있다면 꼭 듣는 것을 추천함. 졸작 등으로 너무 바쁜 상황이라면 많이 벅찰 수도 있음...,5.00
40,소프트웨어공학,Scott Uk-Jin Lee,22711,강의에 큰 요점은 없고 몹시 뜬구름식임.팀플 프로젝트 분량 어마무시하게 많음.,1.00
41,소프트웨어공학,Scott Uk-Jin Lee,22711,4학점 그이상의 값어치를 강의이다. 정말이다... 정말...,5.00
42,시스템프로그래밍,은하수,22713,수업은 정말 잘가르치심. 질고 높고 수업 진짜 좋음.근데교수님이 문제가 많으심.이건 팩트임,2.00
43,시스템프로그래밍,은하수,22713,"시험은 누가누가 더 자료 많이 뽑아와서 잘 배끼나 경쟁하는 시험 같지도 않은 시험이다. 한달 무단 휴강하는건 기본에 실습도 올라오다 말았다. 그렇다고 수업을 잘하냐? 아니다. 리눅스 명령어, 함수 맨 페이지 읽어주는 수준에 그치는 단편적인 수업이라고 말할 수 있겠다. 전반적으로 아주 용두사미 아니, 사두사미 같은 수업이었다. 전공 수업은 앞으로 이 교수가 맡으면 아무리 중요한 과목이라도 나중에 듣거나 듣지 않겠다고 다짐한다.",1.00
44,시스템프로그래밍,은하수,22713,교수님 강의력 좋으시고 학부생 눈높이에서 설명해주려하시는게  보임.  그러나 너무  게으른 완벽주의자 같은 느낌이신지  밀리는 일이 계속 발생함. 진짜 그것만 아니였으면 5점짜리 강의인듯!,4.00
45,시스템프로그래밍,은하수,22713,쉘짜는게 너무 어려웠다 ㅠ 그래도 배운건 많았던 강의 리눅스에 대해서 더 공부할 수 있다,4.00
46,시스템프로그래밍,은하수,22713,나긋한 목소리와 함께 갤럭시로~~~~~~~~~☆,3.00
47,시스템프로그래밍,은하수,22713,강의력 자체는 괜찮다.다만 공지등의 학생에게 전달해줘야할 것을 안해서 생긴문재가 있다. 신입교수로 전공3개 교양1개 짬처리 당해서 중간에 과로로 쓰러져 병원간 이야기. 이런거로 강의죄다 밀려서 난리났는데 공지안하고 혼자 안고가다가 이시단이 났다.중간고사보다 기말이 더 어렵다. 그리고 c언어를 기초만알면 1학기 내내하는 프로젝트과제 10점짜리 하나를 하기 매우매우매우 힘들다. (남들 하루종일 투자하면 되는거 몇주단위 투자해야댐) 강의자체는 정말 쉽게 잘 풀어서 설명해준다. 그냥 뒤에는 시간에 쫒겨서 빠르게 하다가 생략이 너무 된거고그러므로 이 강의를 들으려는 사람 해당학기가 오프라인 강의라면 추천. 온라인이라면... 선택에 맡긴다.,4.00
48,시스템프로그래밍,은하수,22713,일단 시스템프로그래밍 즉 c언어를 한번도 들어본 적 없다면 절대절대 하늘이 두쪽 세쪽 뽀뽀쪽 나도 비추천이다. 개념자체가 너무 어렵기때문에 4학점 짜리 강의에 바닥에서 뒹구는 셈. 그런데 이 강의가 안좋았던이유는 난이도 때문이아니다. 내가 c언어를 처음 배워서가 아니다. 일단 교수님이 학생패치 업데이트하셨는지 중간고사때 까지는 초등학생 계획표처럼 엄청 잘 해주셨는데 여름이 다가오면서 불쾌지수가 만땅이셨는지 기말고사 시험범위 강의가 마마무 니멋대로만해 처럼 엄청 멋대로올라왔다. 기말고사 정리영상이 올라온다고 토요일날 언급하셨는데 화요일 오후 3시시험인데 오전 9시에 하나 올라왔으며 시험 시간 1시간전 그러니까 화요일 오후 2시에 올라왔다. 분명 동영상강의에 조교가 있는 것 같은데 아닌 것 같기도 하다. 최악은 아니지만 그래도 중간고사 때 까지만해도 나름 영양가 있었던 강의다. 물온 c언어를 한번도 접해보지 못했다던다 기초만 있다면 비추천. 교수님은 친절하시나 수업과 과제는 친절하지않다.,2.00
49,시스템프로그래밍,은하수,22713,이 교수님에 대한 배경지식 정보는 네트워크 강의평에 기술해두었다. 그 강의평을 먼저 보고 아강의평을 읽는것을 추천한다. 이 과목역시 네트워크와 동일하게 거의 3주넘게 강의가 정체되다가 마지막 시험 일주일전에 폭탄처럼 영상들을 공개했다. 이과목 역시 시험전 몇시간 전에 마지막 정리 영상을 올리면서 결국 마지막 정리영상은 2배속으로 겨우 마무리짓고 바로 시험을 보게되었다. 사람은 쉽게 변하지않고 습관은 더더욱 변하지 않는다. 매번 시간약속을 어기는 행위는 마지막 시험날 시험시간이 시작되었는데 아직 시험지 인쇄가 안되어 10분이상 지체되었다. 이쯤되면 시간의 마술사가 아닌가 싶다. 어쩌면 그분의 시계는 대한민국이 아닌 그리니치 표준시를 사용하고 있거나 시간의 속박에서 벗어나 뜨고지는 해를 보고 시간을 판단하시는것 같다. 그러지 않고서야 매번 시간공지를 하고 뻔뻔하게 기한을 밥먹듯이 넘는것이 나의 사고로는 이해할수 없다. 그 이유를 서술하는 문제가 나왔다면 한글자도 쓰지 못했을것이다. 이번학기에 시프네트를 동시에 들었던 모든학생들에게 고생했다고 전해주고싶다.,1.00
50,시스템프로그래밍,은하수,22713,듣지 말라는 선배의 말에는 다 이유가 있습니다듣지 마세요,1.00
51,임베디드운영체제,강경태,22715,"실제로 임베디드운영체제에 대해 깊게 배우기 보다는 운영체제론의 후반기 내용을 다루는 데 중점이 있고, 4학년 수강생들이 대다수인지라 쉬엄쉬엄 나가시는 편. 격주로 라즈베리파이에 리눅스 모듈 올려보거나 설정해보거나 함. 매주 한번씩 강의 홈페이지에 리플로 그 주에 배운 내용 3줄 정도 요약해야함. 시험은 한 번 보는데, 무난하면서도 은근히 푸는데 시간이 걸림.",5.00
52,시스템보안,이연준,22717,코로나 싸강 치고 굉장히 융통성 있고 질이 괜찮았던 강의였음. 교수님이 이론은 최소한으로 나가고 실제 취약점 분석 및 활용 위주로 지루하지 않게 수업을 진행하시려는 노력이 보였고 재미도 있었음. 근데 실습(이었어야 할 과제) 난이도가 상당한데 트러블 슈팅이 잘 안 되는데다가 이전 실습의 확장 느낌으로 연계되는 게 있어서 하나 막혀서 못하면 그 다음 과제들도 못할 확률이 높음. 특이하게 리딩프로젝트라고 수업외 내용으로 보안관련 이슈를 정해서 학기말에 보고서를 쓰는 과제가 있는데 조사하면서 얻어가는 것도 많았고 개인적으로 재밌게 했음.,5.00
53,시스템보안,이연준,22717,"끝까지 해라 그럼 너에게 복이온다 매회 새로운 해킹법과 방어법들을 배운다 4학년 수업인 만큼 어렵다 하지만 버티면 a이상 나온다. 시험 기말한번, reading paper작성, 매주 나오는 실습(난 재밌었음)",4.00
54,모바일컴퓨팅,윤종원,22719,네트워크 들엇으면 겹치는네용 많아서 이해하기는 쫌 수월한편 거의 매주 패킷 분석과제가있었고 시험이 쫌 어려웟지만 나름 잘풀엇다고 생각햇는데 생각보다 많이 틀렷나봄 학점을 후하게 주시는편은 아니지만 한번 들어볼만한 강의!,4.00
55,모바일컴퓨팅,윤종원,22719,코로나 때문에 중간고사를 매주 과제로 대체했는데 과제의 난이도는 합리적이었다고 생각함. 대신 기말고사 난이도가 높은 편이었음. 수업을 전부 세세히 듣고 기억해야 고득점이 가능함. 이번 학기부터 절대평가여서 그런가 학점을 잘 주심. 전반적으로 만족도 높은 나름 괜찮은 수업이었다고 생각함.,5.00
56,모바일컴퓨팅,윤종원,22719,"강의력만큼은 소융대 교수진 탑티어 확실함.근데 시험 문제 난이도조차 탑티어.강의때 강조는 커녕, 그냥 이런 방식이 있다~ 라고 언급만 해놓고 지나갔으면서시험에 출제함. 그래놓고 이거 강의때 나온건데 왜 너네 아무도 모르냐면서 시험중에 막 강의함. ㅋㅋ심지어 그 푸는 방법은 강의나 과제에서 안나왔던거임.진짜 시험문제 졸라어려움.",3.00
57,모바일컴퓨팅,윤종원,22719,생각하는 문제가 시험에 나온다지만 사실 피피티 세부적인것도 암기해야함그래도 학점은 잘주시는듯 네트워크 데통 들엇으면 굳이 들을필요는 없음,4.00
58,모바일컴퓨팅,윤종원,22719,1. 생각을 많이 해야하는 수업2. 와이어샤크를 이용해서 패킷 분석하는 걸 많이 하심3.시험은 벼락치기가 소용없음. 4. 교수님이 질문받는걸 좋아하심,4.00
59,모바일컴퓨팅,윤종원,22719,외워도 안됨 생각쓰는 문제 나오기 때문 네트워크 기초 없으신 분 듣지마세요 점수 정말 짜게주고 수업시간에 자기 잘난척 엄청하심 과제없는거 하나만 좋음 그냥 다른수업 들으세요,1.00
60,모바일컴퓨팅,윤종원,22719,교수님이 학생들에게 학점따는 공부보단 생각하는 걸 강조를 많이하심 근데 학생들하곤 잘 안맞는듯ㅋㅋ시험은 답이 없는 문제도 나옴ㅜ 문제보면 상당히 난감함ㅋㅋㅋ 답 맞출라하지말고 그냥 상상력으로 쓰면댐나머지 문제들은 수업에서 배운대로나옴..와이어샤크에서의 명령어나 프로토콜의 포트번호를 묻는 다소 지엽적인 것들도 나옴네트워크나 데이터통신공학을 잘 공부했다면 쉽게 공부할수있음,4.00
61,모바일컴퓨팅,윤종원,22719,네트워크 과목의 복습 + 연장선ㅇㅇㅇㅇㅇㅇㅇㅇ,5.00
62,멀티미디어정보처리,문영식,22723,능동적으로 생각하게 해주는 교수님 그냥 수업하고 받아적고 이런게 아니러 어떤 알고리즘이 있다면 어떤장점이 있고 어떤 한계점이 있어서 그걸 보완하는 알고리즘이있고 이런식으로 진행됨 내용을 깊게 들어가면 어려운 주제가 많지만  우리 수준을 고려하셔서  깊게 파고들지는 않음족보가 있긴한데 없어도 시험이 그리 어렵지 않고 다 수업한 내용에서 나옴 요즘 핫한 딥러닝에대해서도 약간 다루니 안들으면 손해인 수업임,5.00
63,멀티미디어정보처리,문영식,22723,갓영식 교수님❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,5.00
64,멀티미디어정보처리,문영식,22723,"이 수업만큼은 진짜 실용적이고 재밌었음, 이론만을 파고드는 대학 수업에서 유일하게 실습과 이론을 겸비한 수업을 들었음, 대신 느긋한 교수님과는 다르게 시험과 과제는 빡세게 정신줄 잡고 해야 할것임",4.00
65,멀티미디어정보처리,문영식,22723,"개인적으로 진짜 '대학강의'라는 느낌을 받았던 강의. 단순히 '이건 이러니까 외워라!' 가 아니라 어떠한 문제를 제기하고 그것에 대한 답을 찾아가는 형태로 수업을 진행하시는데 학생들로 하여금 생각을 하게 하고, 그 생각은 구현할때는 어떠한 단점이 있으며 그것을 어떻게 또 보완할 수 있는지 같은 problem-based 강의형태였다고 생각한다.예를 들어서 설명하면 key-frame를 뽑아낼 때 어떤 frame을 뽑으면 되겠는가? 라는 실용적인 문제를 하나 제기하면, 그것에 대한 가능한 답으로는 '첫 번째 프레임을 뽑는다', '마지막 프레임', '중간 프레임' 등등이 있다. 그럴때 그러한 방식의 단점이 intelligence가 없다는 점이라는것이고 그것을 보완하려면 어떻게 하면 되겠는가?에 대해서 '얼굴이 나온 frame을 뽑는다', 'blurr하지 않은 frame을 뽑는다', '사람이 카메라를 보고 있는 frame을 뽑는다'와 같이 약간 intelligent하게 뽑을수 있다는 해결책을 제시해주신다.대략적으로 위처럼 문제제기->해결->단점보완->한계 같은 구조를 지니고 수업을 하신다.시험도 그런 생각을 해야하는 문제들이 나오고, 교수님이 말씀하실때 잘 필기해두면 시험걱정은 없다고 봐도 된다. 괜찮은 강의이긴 하지만 실습과제가 빡세다.(!) 기한을 약 5~6일정도 주시고 레포트를 써와야하는데, 레포트 쓰기 싫다면 수강하는것을 추천하고 싶지 않다.",4.00
66,멀티미디어정보처리,문영식,22723,수업 비추함~~~~~~남는게 진짜 없음출석은 반영안하는듯,3.00
67,멀티미디어정보처리,문영식,22723,"출석 거의 안 부르시고, 보고서 3번 만드는 게 귀찮긴 한데, 첫 번째 보고서 만들면 어차피 비슷하게 만들면 되니까 엄청 헬은 또 아니예요. 기간을 너무 짧게 줘서 그렇지. 그리고 수업 자료로 PPT 쓰시는데, 양도 별로 안 되고, 어려운 수학 공식은 그냥 의미만 알라고 했는데, 이해가 안 된다는 것은 공부를 지지리도 안 했거나, 좀 심각하거나 둘 중 하나. 문제는 중요해보이는 거 외워 가세요. 개인적으로 약간 넓게 여러 개념들을 알려줘서 좋았고, 시험 기간에 외울 것도 적어서 좋았네요.",5.00
68,멀티미디어정보처리,문영식,22723,이론수업 열심히하려곤 하시는데 학생들이 이해하는 부분 X 그나마 수업에서 학생들이 가져가는거라곤 실습뿐인데 그마저도 조교들이 다하고 족보없는 찐따는 절대 들으면안됨남는게 전혀없는 최악의수업이었음,1.00
69,멀티미디어정보처리,문영식,22723,출결 랜덤으로 부르거나 거의 안하심ㅋㅋㅋㅋ과제 빡세고 시험은 걍 족보 구하세요 족보 없으면 강의자료 외우셈,4.00
70,컴퓨터구조,박성주,22727,학점 잘주십니다 귯굿!! 꼭 들으세요 시험은 과제에서 응용돼서 나옵니다,3.00
71,컴퓨터구조,박성주,22727,갓갓 교수님수업이 조금 루즈하지만 질문 잘받아주셔서 헷갈림 없이 공부했다.,5.00
72,컴퓨터구조,박성주,22727,"학점은 내가 시험을 너무 못봐서,,,할말없고매주 과제가있는게 너무 큰 부담이었긴했다영어강의만 아니었어도 흥미갖고 공부열심히했을거같은데 영어 발음이나 반복해서 말씀하시는거 등등 내가 지쳐서 중간부터 강의자체도 안들었다,, 개인적으로 너무 아쉬움시험끝날때 하나하나 물어봐주시는거 감동이었고 신경많이쓰고계신거같다고 생각했다",4.00
73,컴퓨터구조,박성주,22727,그저 갓.그저 킹.그저 천사.감사합니다 세번 감사합니다,5.00
